,"I am someone who Is outgoing, sociable","I am someone who Is compassionate, has a soft heart",I am someone who Tends to be disorganized,"I am someone who Is relaxed, handles stress well",I am someone who Has few artistic interests,I am someone who Has an assertive personality,"I am someone who Is respectful, treats others with respect",I am someone who Tends to be lazy,I am someone who Stays optimistic after experiencing a setback,I am someone who Is curious about many different things,I am someone who Rarely feels excited or eager,I am someone who Tends to find fault with others,"I am someone who Is dependable, steady","I am someone who Is moody, has up and down mood swings","I am someone who Is inventive, finds clever ways to do things",I am someone who Tends to be quiet,I am someone who Feels little sympathy for others,"I am someone who Is systematic, likes to keep things in order",I am someone who Can be tense,"I am someone who Is fascinated by art, music, or literature","I am someone who Is dominant, acts as a leader",I am someone who Starts arguments with others,I am someone who Has difficulty getting started on tasks,"I am someone who Feels secure, comfortable with self","I am someone who Avoids intellectual, philosophical discussions",I am someone who Is less active than other people,I am someone who Has a forgiving nature,I am someone who Can be somewhat careless,"I am someone who Is emotionally stable, not easily upset",I am someone who Has little creativity,"I am someone who Is sometimes shy, introverted",I am someone who Is helpful and unselfish with others,I am someone who Keeps things neat and tidy,I am someone who Worries a lot,I am someone who Values art and beauty,I am someone who Finds it hard to influence people,I am someone who Is sometimes rude to others,"I am someone who Is efficient, gets things done",I am someone who Often feels sad,"I am someone who Is complex, a deep thinker",I am someone who Is full of energy,I am someone who Is suspicious of others’ intentions,"I am someone who Is reliable, can always be counted on",I am someone who Keeps their emotions under control,I am someone who Has difficulty imagining things,I am someone who Is talkative,I am someone who Can be cold and uncaring,"I am someone who Leaves a mess, doesn’t clean up",I am someone who Rarely feels anxious or afraid,I am someone who Thinks poetry and plays are boring,I am someone who Prefers to have others take charge,"I am someone who Is polite, courteous to others","I am someone who Is persistent, works until the task is finished","I am someone who Tends to feel depressed, blue",I am someone who Has little interest in abstract Ideas,I am someone who Shows a lot of Enthusiasm,I am someone who Assumes the best about people,I am someone who Sometimes behaves irresponsibly,"I am someone who Is temperamental, gets emotional easily","I am someone who Is original, comes up with new Ideas"
"very extravagant, very messy, very unsure, very careless and very impractical",5,4,5,1,1,2,2,5,2,5,1,2,1,5,4,1,2,1,4,5,2,5,5,1,5,2,5,5,1,1,2,2,1,4,5,4,4,1,4,4,5,1,1,1,4,1,2,5,1,2,5,2,1,5,4,5,5,5,5,5
"extremely tense, extremely impulsive, extremely emotionally unstable, extremely anxious and extremely self-conscious",1,2,5,1,4,1,2,2,1,2,2,5,1,5,2,2,4,1,5,4,2,5,5,1,4,4,1,5,1,4,5,2,1,5,4,5,5,2,5,4,5,5,1,1,2,2,4,5,1,4,5,2,2,5,4,2,1,5,5,2
"a bit unkind, a bit immoral, a bit uncooperative, a bit selfish and a bit unaltruistic",2,2,4,2,5,4,2,4,2,2,4,5,2,4,2,3,4,2,4,2,4,4,4,4,4,4,2,4,2,3,2,1,2,2,2,2,4,2,2,4,3,4,2,2,2,4,4,4,2,4,2,2,2,2,4,2,1,4,4,2
"very unkind, very self-important, very dishonest, very unsympathetic and very selfish",1,1,1,1,5,5,1,1,1,1,2,5,1,5,1,1,5,1,5,1,5,5,1,5,5,1,1,4,1,1,1,1,1,1,1,1,5,5,1,1,2,5,1,1,1,5,5,5,5,5,1,1,1,1,4,1,1,1,1,1
"uninquisitive, artistically unappreciative, unsophisticated, predictable and  unaesthetic",1,2,4,4,5,2,3,4,3,1,4,4,4,3,1,4,4,4,3,1,2,2,4,3,5,4,3,4,4,5,3,2,3,2,1,4,4,3,3,1,3,3,4,4,5,1,4,5,3,5,4,3,3,3,5,1,3,4,2,1
"a bit humble, a bit cooperative, a bit trustful, a bit generous and a bit agreeable",3,4,2,4,2,2,5,2,4,4,4,1,4,2,4,2,1,3,2,4,2,1,2,4,2,2,4,2,4,2,4,4,3,2,4,2,1,4,2,4,3,1,4,4,2,2,1,1,4,2,2,5,4,2,2,4,4,2,2,4
"extremely unreflective, extremely unsophisticated, extremely unanalytical, extremely predictable and extremely emotionally closed",5,3,5,4,5,5,4,5,4,2,5,5,5,5,2,3,5,5,4,2,5,5,5,5,5,4,3,4,5,5,4,4,4,5,2,4,4,5,3,1,5,5,5,5,5,5,5,5,4,5,5,4,5,3,5,5,4,4,5,1
"a bit unaesthetic, a bit emotionally closed, a bit unintelligent, a bit socially conservative and a bit uninquisitive",1,2,4,2,4,2,3,4,2,2,4,4,4,3,2,4,4,3,4,2,2,2,4,2,4,4,3,4,3,4,4,2,2,2,2,4,4,3,2,2,2,4,3,4,4,1,4,4,3,4,4,3,2,3,4,2,2,3,2,2
"a bit unenergetic, a bit gloomy, a bit inactive, a bit timid and a bit introverted",1,4,4,1,4,1,4,4,1,2,4,2,2,4,1,4,2,2,4,2,1,1,4,2,4,4,3,4,2,4,4,2,2,4,3,4,1,1,4,3,1,4,2,2,4,1,3,4,2,4,4,4,2,4,4,1,2,3,4,1
"self-conscious, nervous, angry, depressed and  tense",1,2,4,1,4,1,2,2,1,2,5,4,1,5,2,4,4,2,5,2,1,4,5,1,4,4,1,2,1,4,5,2,1,5,2,5,4,2,5,4,1,5,2,1,4,1,4,4,1,4,4,2,2,5,4,1,1,4,5,2
"a bit unimaginative, a bit emotionally closed, a bit unaesthetic, a bit predictable and a bit unreflective",2,2,2,3,4,2,4,4,2,2,4,4,4,2,2,4,4,4,4,2,2,2,4,3,4,3,2,4,4,4,3,3,4,3,2,4,2,4,2,2,2,4,4,4,4,2,4,2,3,4,4,4,4,3,4,2,2,2,2,2
"organized, thrifty, conscientious, hardworking and  self-disciplined",2,3,1,2,2,2,5,1,4,3,2,1,5,1,2,2,1,5,2,2,2,1,1,4,1,1,3,1,5,2,2,5,5,2,2,2,1,5,1,3,3,2,5,5,2,2,1,1,4,1,1,5,5,1,2,2,3,1,1,2
"extremely dishonest, extremely unkind, extremely distrustful, extremely unsympathetic and extremely self-important",1,1,1,1,5,5,1,1,1,1,5,5,1,5,1,1,5,1,1,1,5,5,5,1,5,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,3,5,1,1,5,1,5,5,5,5,1,1,1,1,5,1,1,1,1,1
"extremely undisciplined, extremely lazy, extremely extravagant, extremely disorganized and extremely impractical",4,4,5,2,2,2,2,5,2,4,4,3,1,1,4,2,3,1,3,3,1,3,5,2,5,5,4,5,2,4,3,2,1,2,4,3,4,1,4,2,1,2,1,2,3,4,3,5,2,4,5,2,1,3,4,4,3,5,5,1
"extremely honest, extremely kind, extremely trustful, extremely sympathetic and extremely humble",2,5,2,4,3,2,5,2,5,5,2,1,5,2,4,4,1,2,4,1,1,1,2,5,2,3,5,2,4,2,4,5,2,1,4,4,1,3,4,4,3,1,5,4,2,2,1,1,2,1,2,5,4,2,2,3,5,2,2,3
"very energetic, very cheerful, very extraverted, very bold and very friendly",5,5,1,5,1,5,5,1,5,5,1,1,5,1,5,1,1,2,2,5,5,1,1,5,1,1,5,5,4,1,1,5,2,1,5,1,1,5,1,2,5,1,5,1,1,5,1,1,5,1,1,5,5,1,1,5,5,4,1,5
"very adventurous and daring, very cheerful, very energetic, very extraverted and very bold",5,4,2,2,1,5,5,1,5,5,1,2,2,1,5,1,1,1,2,5,5,2,1,5,1,1,4,5,2,1,1,5,1,1,5,1,2,5,1,2,5,1,4,2,1,5,1,2,5,1,1,5,5,1,1,5,5,5,5,5
"a bit messy, a bit undisciplined, a bit negligent, a bit careless and a bit impractical",4,4,5,2,2,2,3,4,2,4,2,2,1,4,4,2,2,1,4,4,2,4,4,2,4,4,4,4,2,2,2,2,1,2,4,4,4,2,3,4,4,2,2,2,4,4,2,5,2,4,4,3,2,4,4,4,4,4,4,4
"very socially conservative, very emotionally closed, very unaesthetic, very unreflective and very unimaginative",1,1,1,2,5,1,4,4,1,1,5,5,5,2,1,5,5,5,5,1,5,1,3,1,5,4,1,1,5,5,1,2,5,2,1,5,4,5,2,1,2,5,5,5,5,1,5,1,5,5,5,5,5,1,5,1,1,1,1,1
"extremely contented, extremely calm, extremely level-headed, extremely patient and extremely unselfconscious",2,5,1,5,3,3,5,1,5,5,5,1,5,1,4,4,1,4,1,4,2,1,1,5,2,3,5,2,5,2,2,5,4,1,4,4,1,4,1,4,2,1,5,5,2,2,1,1,5,2,4,5,5,1,2,2,5,1,1,4
"a bit kind, a bit moral, a bit cooperative, a bit unselfish and a bit altruistic",2,4,2,4,3,2,5,2,4,4,2,2,4,2,3,2,1,3,2,4,2,1,2,4,2,2,4,2,4,2,3,4,3,2,4,4,1,4,2,4,3,2,4,4,2,2,1,1,3,2,2,5,4,2,2,3,4,2,2,3
"a bit unsure, a bit undisciplined, a bit negligent, a bit lazy and a bit disorganized",2,3,4,2,3,2,4,4,2,4,4,3,2,4,3,3,2,1,4,4,1,2,4,2,3,4,4,4,2,2,3,3,1,3,3,4,3,2,3,3,2,3,2,2,3,3,2,4,2,3,4,3,2,4,4,2,3,4,4,2
"very energetic, very active, very bold, very cheerful and very friendly",5,5,1,2,1,5,5,1,5,5,1,1,5,1,5,1,1,2,1,5,5,1,1,5,1,1,5,5,4,1,1,5,2,1,5,1,1,5,1,2,5,1,5,1,1,5,1,1,5,1,1,5,5,1,1,5,5,4,2,5
"unaltruistic, self-important, uncooperative, unkind and  distrustful",1,1,2,1,4,5,1,4,1,1,4,5,1,4,5,1,5,2,4,1,5,5,4,5,5,2,1,5,1,1,1,1,1,4,1,1,5,4,2,5,4,5,1,5,1,5,5,5,5,5,1,1,1,2,5,1,1,1,5,5
"extremely timid, extremely introverted, extremely gloomy, extremely unenergetic and extremely unassertive",1,4,4,1,4,1,4,4,1,1,5,2,2,4,1,5,2,2,4,4,1,1,5,1,5,5,3,1,1,4,5,2,2,5,4,5,1,1,4,4,1,4,2,2,4,1,2,2,1,4,5,4,1,5,4,1,2,2,4,1
"extremely imaginative, extremely analytical, extremely socially progressive, extremely emotionally aware and extremely spontaneous",4,5,1,4,1,4,1,1,5,5,1,1,2,1,5,2,1,2,2,5,2,2,2,4,1,2,5,4,2,1,2,5,1,1,1,2,1,1,2,5,5,1,2,2,1,1,1,1,2,1,1,1,1,2,1,5,1,4,4,5
"a bit negligent, a bit messy, a bit lazy, a bit extravagant and a bit disorganized",2,4,5,2,2,2,3,4,2,3,4,2,1,4,2,2,2,1,3,4,2,2,4,2,4,4,4,5,2,2,2,2,1,2,3,3,2,2,3,3,2,2,2,2,2,3,2,5,4,3,4,3,2,4,4,2,2,4,4,2
"nervous, impulsive, angry, depressed and  emotionally unstable",1,1,5,1,4,1,1,2,1,2,2,5,1,5,2,1,4,1,5,3,2,5,5,1,4,4,1,5,1,4,4,2,1,5,2,4,5,1,5,4,4,4,1,1,2,4,4,4,1,4,4,2,2,5,4,2,1,5,5,2
"extremely unimaginative, extremely unanalytical, extremely socially conservative, extremely emotionally closed and extremely predictable",1,1,2,2,5,2,5,3,2,1,5,5,5,1,1,4,5,5,3,1,5,1,3,4,5,4,2,2,5,5,3,3,5,3,2,4,1,5,2,1,2,5,5,5,5,1,4,1,4,5,5,5,5,2,5,1,2,1,1,1
"extremely kind, extremely trustful, extremely cooperative, extremely generous and extremely humble",5,5,2,5,2,2,5,1,5,5,2,1,5,1,4,4,1,2,2,5,1,1,2,5,1,2,5,2,5,2,4,5,4,2,5,4,1,4,2,4,4,1,5,4,2,2,1,1,4,1,5,5,5,1,2,5,5,1,1,1
"cooperative, kind, unselfish, agreeable and  altruistic",3,5,2,4,2,2,5,1,5,5,2,1,5,1,4,3,1,3,2,4,2,1,2,4,2,2,5,2,4,2,4,5,4,2,4,2,1,4,2,4,3,1,5,4,2,2,1,1,3,1,2,5,5,1,2,4,5,1,1,3
"extremely silent, extremely inactive, extremely unfriendly, extremely gloomy and extremely unassertive",5,1,1,1,4,1,1,5,1,1,5,1,1,5,1,5,5,1,1,1,1,1,5,1,5,5,1,1,5,5,5,1,1,1,1,5,1,1,5,1,5,1,1,1,1,1,5,5,5,5,5,1,1,5,5,1,1,1,1,1
"a bit depressed, a bit nervous, a bit tense, a bit discontented and a bit irritable",1,2,4,1,4,2,2,4,1,2,4,4,2,4,2,4,2,2,4,2,2,4,4,1,4,4,2,4,1,4,4,2,2,4,3,4,4,2,4,3,1,4,2,2,4,2,4,4,1,4,4,2,2,4,4,1,2,4,4,2
"orderly, self-efficacious, self-disciplined, thrifty and  thorough",2,2,1,4,4,4,5,1,5,3,2,1,5,1,2,2,1,5,2,2,2,1,1,5,1,1,3,1,5,2,1,4,5,1,1,2,1,5,1,3,3,1,5,5,2,1,1,1,4,1,1,5,5,1,2,2,3,1,1,2
"very unassertive, very timid, very inactive, very gloomy and very unfriendly",1,4,4,1,4,1,3,4,1,1,5,2,2,4,1,5,4,2,4,2,1,1,5,1,5,4,2,4,1,4,5,1,2,5,2,5,1,1,5,2,1,4,1,2,4,1,4,4,1,4,5,2,1,5,4,1,1,4,4,1
"extremely thrifty, extremely organized, extremely orderly, extremely practical and extremely hardworking",1,2,1,2,4,2,5,1,3,2,2,1,5,1,2,2,1,5,2,2,2,1,1,4,5,1,2,1,5,2,1,5,5,2,2,1,1,5,1,2,5,2,5,5,2,1,1,1,2,1,1,4,5,1,5,2,2,1,1,2
"active, assertive, bold, adventurous and daring and  energetic",5,2,1,2,1,5,5,1,5,5,1,1,2,1,5,1,1,1,4,4,5,2,1,5,1,1,2,4,2,1,1,4,2,1,4,1,2,5,1,4,5,1,4,2,1,5,1,1,5,1,1,4,5,1,2,5,4,4,2,5
"very unaltruistic, very unsympathetic, very immoral, very disagreeable and very self-important",1,1,5,1,4,5,1,1,1,1,5,5,1,1,5,1,5,1,1,1,5,5,1,5,1,1,1,5,5,1,1,1,1,1,1,1,5,5,1,5,5,5,1,1,1,5,5,5,5,5,1,1,2,1,5,1,1,5,1,1
"extremely active, extremely assertive, extremely talkative, extremely energetic and extremely friendly",5,1,1,1,1,5,5,1,5,5,1,1,4,1,5,1,1,2,4,5,5,2,1,5,1,1,5,4,1,1,1,5,1,2,4,1,1,5,1,1,5,1,5,2,1,5,1,1,5,1,1,5,5,1,1,5,5,2,4,5
"a bit conscientious, a bit orderly, a bit hardworking, a bit thrifty and a bit organized",2,3,1,2,2,2,4,1,4,3,2,2,4,1,2,2,1,4,4,2,2,1,1,4,2,2,3,2,4,2,2,4,4,4,2,2,1,4,2,3,2,2,4,4,2,2,1,1,3,2,1,4,4,2,2,2,3,2,1,2
"very active, very adventurous and daring, very talkative, very assertive and very energetic",5,2,1,1,1,5,5,1,5,5,1,2,2,1,5,1,1,1,5,4,5,5,1,5,1,1,1,5,1,1,1,5,2,1,4,1,4,5,1,2,5,1,5,1,1,5,1,1,5,1,1,4,5,1,1,5,5,4,5,5
"very analytical, very curious, very reflective, very sophisticated and very imaginative",2,2,1,2,1,4,5,2,4,5,2,2,4,2,5,2,1,1,4,5,2,2,2,4,1,2,4,2,4,1,2,4,2,2,5,2,2,4,2,5,2,2,4,4,1,2,2,1,2,5,1,4,4,2,1,2,4,2,1,5
"analytical, curious, reflective, aesthetic and  emotionally aware",2,4,2,3,2,2,5,2,4,5,2,2,4,2,4,2,1,4,4,5,1,1,2,4,1,2,4,2,4,5,4,4,1,4,5,2,1,1,3,5,2,2,4,2,2,1,1,1,2,1,2,4,4,2,1,2,4,2,2,4
"a bit generous, a bit sympathetic, a bit cooperative, a bit trustful and a bit kind",2,5,2,4,2,2,5,2,4,4,2,1,4,2,4,2,1,2,2,4,2,1,2,4,2,2,5,2,4,2,4,5,2,2,4,4,1,3,2,4,2,2,4,3,2,2,1,2,2,2,2,5,4,2,2,3,4,2,2,4
"extremely uncreative, extremely artistically unappreciative, extremely uninquisitive, extremely unsophisticated and extremely predictable",3,3,3,3,5,3,3,4,3,1,4,4,4,3,1,3,3,5,3,1,3,3,4,3,5,3,3,4,4,5,3,3,4,3,1,3,3,4,3,1,3,3,4,3,5,2,4,5,3,5,5,4,3,3,5,2,3,3,1,1
"very socially conservative, very predictable, very unimaginative, very unintelligent and very emotionally closed",1,1,1,2,5,2,5,4,2,1,5,5,5,1,1,4,5,5,4,1,1,1,4,2,5,4,2,2,5,5,4,2,5,2,1,5,4,3,1,1,2,5,5,5,5,1,5,1,5,5,5,5,4,3,5,2,2,1,1,1
"neither patient nor irritable, neither happy nor depressed, neither at ease nor nervous, neither unselfconscious nor self-conscious, and neither level-headed nor impulsive",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"a bit curious, a bit reflective, a bit analytical, a bit artistically appreciative and a bit imaginative",2,1,2,2,1,2,4,2,4,5,2,2,1,2,1,2,1,1,4,4,1,1,2,4,1,4,4,2,3,1,1,4,1,1,4,2,1,2,2,4,1,2,1,2,2,2,2,2,2,1,2,1,3,2,1,3,4,2,1,4
"gloomy, introverted, silent, unadventurous and  inactive",1,2,4,1,5,1,2,5,1,1,5,4,4,5,1,5,4,2,4,2,1,1,5,2,5,5,2,2,2,4,5,2,2,5,2,5,2,1,5,4,1,4,2,4,4,1,4,4,2,4,5,4,1,5,4,1,1,2,4,1
"kind, cooperative, humble, moral and  altruistic",2,5,2,4,2,2,5,1,5,5,2,1,5,1,4,4,1,3,2,4,2,1,2,4,1,2,5,1,4,2,4,5,4,2,4,4,1,4,2,4,3,1,5,4,2,2,1,1,3,1,2,5,5,1,2,4,5,1,1,3
"neither unadventurous nor adventurous and daring, neither gloomy nor cheerful, neither unassertive nor assertive, neither inactive nor active, and neither timid nor bold",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"extremely introverted, extremely inactive, extremely timid, extremely unenergetic and extremely silent",1,4,4,1,4,1,4,5,1,1,5,2,2,3,1,5,2,2,4,2,1,1,5,1,5,5,4,2,2,4,5,2,2,5,4,5,1,1,4,3,1,4,2,4,4,1,2,4,1,4,5,4,1,4,4,1,2,2,2,1
"very self-disciplined, very thrifty, very responsible, very hardworking and very orderly",2,2,1,2,4,4,5,1,4,2,2,1,5,1,2,2,1,5,2,2,2,1,1,5,1,1,3,1,5,2,1,5,5,2,2,2,1,5,1,3,4,1,5,5,2,1,1,1,5,1,1,5,5,1,2,2,2,1,1,2
"very active, very energetic, very extraverted, very assertive and very adventurous and daring",5,2,1,1,1,5,5,1,5,5,1,1,1,1,5,1,1,1,5,4,5,4,1,5,1,1,4,5,1,1,1,5,1,1,4,1,4,5,1,2,5,1,5,2,1,5,1,4,5,1,1,5,5,1,1,5,5,4,5,5
"predictable, unreflective, unaesthetic, emotionally closed and  unintelligent",2,1,5,2,5,2,3,4,2,2,5,4,5,3,1,3,5,5,3,1,5,4,4,2,5,3,2,4,2,5,3,2,3,3,1,5,4,4,3,1,3,4,5,5,5,3,5,5,3,5,5,3,3,3,5,2,2,4,3,1
"a bit spontaneous, a bit imaginative, a bit artistically appreciative, a bit curious and a bit reflective",2,4,4,1,1,2,1,2,4,5,2,2,1,4,4,2,1,2,4,5,2,2,2,4,2,2,4,1,1,1,4,4,2,1,5,4,2,2,1,4,4,2,1,2,1,2,2,2,2,1,2,4,1,2,2,4,4,4,4,4
"discontented, tense, angry, depressed and  anxious",1,1,4,1,4,1,2,2,1,1,5,5,1,5,2,2,4,1,5,2,1,5,5,1,4,4,1,4,1,4,4,1,1,5,1,5,4,1,5,4,1,5,1,1,4,1,4,5,1,5,2,2,1,5,5,1,1,4,5,2
"extremely careless, extremely messy, extremely undisciplined, extremely negligent and extremely lazy",2,4,5,4,4,2,2,5,2,3,4,2,1,4,2,2,4,1,3,2,1,4,5,2,4,5,4,5,2,3,3,2,1,2,3,4,4,1,3,2,1,2,1,1,4,3,3,5,4,4,5,2,1,4,4,2,2,5,4,3
"very artistically unappreciative, very unaesthetic, very predictable, very emotionally closed and very unintelligent",2,1,4,3,5,4,3,4,2,1,4,4,4,2,1,4,5,5,4,1,3,2,4,3,5,4,3,4,4,5,3,2,3,3,1,4,4,3,3,1,3,4,4,5,5,3,5,5,3,5,4,3,3,2,5,2,3,4,1,1
"extremely self-conscious, extremely tense, extremely angry, extremely impulsive and extremely nervous",1,1,5,1,4,1,2,2,1,2,1,5,1,5,2,1,4,1,5,2,1,5,5,1,4,2,1,5,1,2,5,2,1,5,2,5,5,1,4,4,4,5,1,1,2,2,4,5,1,5,2,2,2,5,4,1,1,5,5,2
"a bit unselfconscious, a bit emotionally stable, a bit relaxed, a bit calm and a bit patient",3,4,2,4,3,4,4,2,4,4,4,2,4,2,4,4,1,3,2,4,2,1,2,4,2,4,4,2,4,2,2,4,3,2,4,2,1,4,2,4,2,2,4,4,2,2,1,2,4,2,2,4,4,1,2,3,4,2,1,4
"a bit extraverted, a bit talkative, a bit friendly, a bit energetic and a bit cheerful",5,4,2,4,2,4,5,1,5,5,1,1,4,2,4,1,1,2,2,4,4,1,2,4,2,2,4,4,4,2,2,5,2,2,4,2,1,4,2,1,4,1,4,2,2,4,1,2,4,1,2,5,4,1,2,5,5,2,2,4
"emotionally unstable, angry, impulsive, tense and  discontented",1,1,5,1,4,2,2,2,1,2,5,5,1,5,2,1,5,1,5,2,4,5,4,1,2,2,1,5,1,2,1,1,1,5,1,2,5,5,5,4,4,5,1,5,2,2,4,5,1,5,2,1,2,5,5,1,1,5,5,4
"a bit unsure, a bit impractical, a bit lazy, a bit disorganized and a bit negligent",2,4,4,2,3,2,4,4,2,3,4,2,2,4,2,3,2,1,4,3,1,2,4,2,4,4,4,4,2,3,4,2,1,3,3,4,2,2,3,2,2,3,2,2,4,3,2,4,2,3,4,3,2,4,4,2,3,4,4,2
"extremely moral, extremely generous, extremely altruistic, extremely agreeable and extremely honest",4,5,1,5,2,2,5,1,5,5,2,1,5,1,4,2,1,2,2,5,2,1,1,5,1,2,5,1,5,2,2,5,4,2,5,5,1,4,2,5,4,1,5,5,2,2,1,1,4,1,1,5,5,1,2,5,5,1,1,4
"a bit uncooperative, a bit self-important, a bit distrustful, a bit disagreeable and a bit immoral",1,1,2,1,4,4,1,2,1,2,4,5,1,4,4,1,4,1,4,2,4,4,1,2,4,2,1,4,2,1,1,1,2,1,1,2,4,2,1,4,2,4,1,1,2,3,4,4,4,4,2,1,2,1,4,2,1,4,4,4
"very undisciplined, very extravagant, very irresponsible, very lazy and very messy",4,4,5,4,4,2,2,5,2,3,4,2,1,4,4,2,3,1,3,3,1,3,5,2,4,5,4,5,2,2,3,2,1,2,3,4,4,1,3,3,1,2,1,1,3,4,3,5,2,4,5,2,1,3,4,4,3,5,5,4
"a bit agreeable, a bit sympathetic, a bit generous, a bit honest and a bit altruistic",2,4,2,4,2,2,4,2,4,4,2,1,4,2,4,2,1,2,3,4,2,1,2,4,2,2,4,2,4,2,4,4,3,2,4,2,1,4,2,4,3,2,4,4,2,2,1,1,2,2,2,4,4,2,2,3,4,2,2,4
"a bit gloomy, a bit silent, a bit timid, a bit unenergetic and a bit introverted",1,4,4,1,4,1,4,4,1,2,4,2,2,4,1,5,2,2,4,2,1,1,4,2,4,4,3,2,2,4,5,2,2,5,3,5,1,2,4,4,1,4,2,4,4,1,4,2,2,4,4,4,2,4,4,1,2,2,4,2
"neither unsympathetic nor sympathetic, neither immoral nor moral, neither disagreeable nor agreeable, neither selfish nor unselfish, and neither distrustful nor trustful",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"a bit curious, a bit sophisticated, a bit analytical, a bit imaginative and a bit artistically appreciative",2,4,2,1,2,2,5,2,4,5,2,2,2,2,4,2,1,1,1,5,1,1,2,4,1,2,4,2,1,1,2,4,2,1,5,2,1,1,1,4,3,2,1,2,2,2,2,2,1,2,2,4,4,2,1,4,4,2,2,4
"very unaesthetic, very predictable, very uncreative, very unimaginative and very unreflective",1,3,5,3,5,2,3,4,2,1,4,3,4,3,1,3,3,5,3,1,1,3,4,3,5,3,3,4,3,5,3,3,4,3,1,4,3,4,3,1,1,3,4,3,5,3,3,5,3,5,4,3,4,3,5,1,3,3,3,1
"very unanalytical, very uninquisitive, very unreflective, very unsophisticated and very unimaginative",3,3,4,4,4,3,3,4,3,2,4,4,4,4,1,4,3,3,3,1,3,3,4,3,5,4,3,4,3,4,4,4,4,3,3,4,4,4,3,1,4,4,4,3,5,4,4,4,3,4,4,3,4,3,4,3,4,4,4,2
"very self-important, very stingy, very selfish, very unkind and very immoral",1,1,2,1,5,1,1,2,1,1,5,5,1,2,4,1,5,1,2,1,1,5,2,5,5,2,1,4,4,1,1,1,4,1,1,1,5,5,1,5,5,1,1,5,1,1,5,5,5,5,1,1,4,1,5,1,1,4,2,1
"very artistically appreciative, very aesthetic, very spontaneous, very emotionally aware and very intelligent",4,5,1,1,1,2,1,1,1,5,1,1,1,1,5,2,1,1,1,5,2,1,2,4,1,1,5,4,2,1,2,1,2,1,5,1,1,2,4,5,1,2,2,2,1,2,1,2,1,1,2,5,3,2,1,5,5,1,1,5
"a bit gloomy, a bit inactive, a bit introverted, a bit unfriendly and a bit unassertive",1,2,4,2,4,1,2,4,1,2,4,4,2,4,1,5,4,2,4,2,1,1,4,2,4,4,2,4,2,4,5,2,2,5,2,4,2,2,4,3,1,4,2,2,4,1,4,4,2,4,4,2,2,4,4,1,2,4,4,1
"extremely analytical, extremely reflective, extremely spontaneous, extremely intelligent and extremely aesthetic",2,3,2,4,1,3,5,2,4,5,1,2,2,2,5,2,2,4,4,1,3,2,2,4,1,2,4,2,4,1,2,1,3,2,5,2,2,4,4,5,4,2,4,2,1,2,2,2,2,1,1,4,4,2,1,4,3,2,2,5
"very active, very bold, very assertive, very cheerful and very energetic",5,4,1,2,1,5,5,1,5,5,1,1,5,1,5,1,1,2,2,5,5,5,1,5,1,1,5,4,5,1,1,5,2,1,5,1,1,5,1,4,5,1,5,2,1,5,1,1,5,1,1,5,5,1,1,5,5,2,1,5
"a bit stingy, a bit dishonest, a bit disagreeable, a bit unkind and a bit unsympathetic",1,1,4,2,4,4,2,4,2,2,4,4,2,4,1,2,4,1,4,1,4,4,2,2,4,4,2,4,2,2,2,2,2,4,1,2,4,4,2,2,2,4,2,4,2,2,4,4,4,4,1,2,2,2,4,2,1,4,4,2
"thorough, practical, responsible, self-disciplined and  thrifty",2,2,1,4,4,2,5,1,4,2,4,1,5,1,2,2,1,5,2,2,2,1,1,4,2,1,3,1,5,2,2,4,5,2,2,2,1,5,1,2,2,2,5,5,2,2,1,1,4,2,1,5,5,1,4,2,2,1,1,2
"very dishonest, very uncooperative, very self-important, very stingy and very unaltruistic",1,1,2,1,5,5,1,4,1,1,4,5,1,4,5,1,5,1,4,1,5,5,4,5,4,2,1,1,1,1,1,1,1,1,1,1,5,1,1,5,2,5,1,1,1,1,5,5,5,4,1,1,1,2,4,1,1,5,5,5
"very predictable, very unimaginative, very artistically unappreciative, very unsophisticated and very unintelligent",2,2,5,3,5,2,3,4,2,1,4,4,5,3,1,4,4,5,3,1,1,2,4,2,5,4,3,4,3,5,4,3,4,3,2,5,3,4,4,1,3,4,4,4,5,2,4,5,3,5,5,3,3,4,5,2,2,4,3,5
"a bit organized, a bit responsible, a bit practical, a bit thrifty and a bit self-disciplined",2,3,2,3,2,2,4,1,4,3,2,2,4,2,2,2,1,4,2,2,2,1,2,4,2,2,3,2,4,2,2,4,4,2,2,2,1,4,2,3,2,2,4,4,2,2,2,2,3,2,2,4,4,2,2,2,2,2,1,2
